SubjID	MCQ1	MCQ2	MCQ3	MCQ4	MCQ5	MCQ6	MCQ7	MCQ8	MCQ9	MCQ10	MCQ11	MCQ12	MCQ13	MCQ14	MCQ15	MCQ16	MCQ17	MCQ18	MCQ19	MCQ20	MCQ21	MCQ22	MCQ23	MCQ24	MCQ25	MCQ26	MCQ27
COM12	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2
COM13	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1
COM14	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2
COM15	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1
COM16	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1
COM17	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
COM18	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
COM19	1	2	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
COM20	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1
COM21	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2
COM22	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1
COM23	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1
COM24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	1
COM25	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1
COM26	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2
COM27	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
COM28	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1
COM29	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1
COM30	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
COM31	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	1
COM32	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2
COM33	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1
COM34	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1
COM35	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1
COM36	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1
COM37	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1
COM38	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1
COM39	2	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
COM40	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1
COM41	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1
COM42	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1
COM43	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COM44	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1
COM45	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1
COM46	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
COM47	1	1	1	2	2	1	2	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2
COM48	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2
COM49	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	2
COM50	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	1
COM51	1	2	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
COM52	1	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2
COM53	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1
COM54	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2
COM55	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1
COM56	1	2	2	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1
COM57	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	2
COM58	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2
COM59	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	2	1	1	1	1
COM60	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	2
COM61	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	1	2	1	1
COM62	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	1	1
COM63	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2
COM64	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1
COM65	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1
COM66	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	1
COM67	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2
COM68	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2
COM69	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1
COM70	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2
COM71	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1
COM72	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	1
COM73	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2
COM74	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
COM75	1	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1
COM76	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1
COM77	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2
COM78	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	1	2	1	2	1	2	1
COM79	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2	1
COM80	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	1	2	2	2	1
COM81	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	1
COM82	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2
COM83	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2
COM84	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1
COM85	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2
COM86	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	1
COM87	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	2	1	2	1	1
COM88	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2
COM89	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1
COM90	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1
COM91	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1
COM92	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2
COM93	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1
COM94	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	1
COM95	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	1	1
COM96	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1
COM97	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2
COM98	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1
COM99	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	2	1
COM100	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	1
COM101	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1
COM102	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	2	1	2	1	2	1
COM103	2	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2
COM104	2	1	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2
COM105	2	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1
COM106	2	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2
COM107	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	1
COM108	2	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1
COM109	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
COM110	2	2	2	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1
COM111	2	2	2	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1
COM112	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1
COM113	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2
COM114	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	1
COM115	2	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1
COM116	2	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	2	1	1	2	1	1
COM117	2	2	2	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1
COM118	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2
COM119	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1
COM120	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1
COM121	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2	2	1
COM122	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1
COM123	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1
COM124	2	1	1	2	1	2	1	1	2	1	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2
COM125	2	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1
COM126	2	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1
COM127	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	2	1	2	2	1	1	1	2	1	1
COM128	2	2	2	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1
COM129	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	2	1	2	1	1	1	1	1
COM130	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	1	2	1
COM131	1	1	1	2	2	1	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	2
COM132	1	2	2	2	2	1	2	2	1	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2
COM133	1	2	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	2
COM134	1	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	2	1	2	1	2
COM135	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	1
COM136	1	1	1	2	2	1	2	2	1	1	2	1	1	2	2	2	1	1	2	1	1	2	2	1	1	1	2
COM137	1	1	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	2	2	1	2	2	1	1	2	1	2
COM138	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	2	2	2	1	2	1	2
COM139	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	2	1	1
COM140	1	2	2	2	1	1	2	2	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	2
COM141	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2
COM142	1	2	2	1	2	1	2	2	1	2	1	1	1	2	2	2	1	1	2	1	1	2	2	1	1	1	1
COM143	1	2	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	2	1	1	2	1	2
COM144	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	2	2	1	1	2	1	1
COM145	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	2	2	2	1	2	1	1
COM146	1	1	1	2	2	1	2	2	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	2
COM147	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	2	2	2
COM148	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	2
COM149	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	2	2	1	2	1	2	2	2	2	1
COM150	1	2	2	2	1	1	2	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2
COM151	1	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2
COM152	1	2	2	1	2	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1
COM153	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2
COM154	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1
COM155	1	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	1
COM156	1	1	1	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	1	1	2	1	2	1	2	2
COM157	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2	2
COM158	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1
COM159	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	2	2	2	2
COM160	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	2	2	1	2	2	1	2	2	2	1
COM161	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	2	2	2	2	2	1
COM162	1	2	2	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2
COM163	1	2	2	1	1	1	2	2	1	2	1	2	1	1	2	2	1	1	2	1	1	2	1	2	1	2	1
COM164	1	2	2	1	2	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	2	1
COM165	1	2	2	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	2	2	1
COM166	1	1	1	2	2	2	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	2
COM167	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	2
COM168	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	2	1	2	2	1	2	1	2	1	2
COM169	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	1	2	1	1
COM170	1	2	2	2	1	2	2	2	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2
COM171	1	2	2	2	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2
COM172	1	2	2	1	2	2	2	2	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1
COM173	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	2
COM174	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	1
COM175	1	2	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	2	1	2	2	1	2	1	2	1	1
COM176	1	1	1	2	1	2	2	2	1	1	2	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	2
COM177	1	1	1	2	2	2	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	2
COM178	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	1	2	2	1	2	2	1	1	1	1
COM179	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	2	2	2	1	1	2	1	2
COM180	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1
COM181	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1
COM182	1	2	2	2	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2
COM183	1	2	2	1	1	2	2	2	1	2	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1
COM184	1	2	2	1	2	2	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	2	2	1	1	1	1
COM185	1	2	2	1	1	2	1	1	1	2	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	1	1
COM186	1	1	1	2	1	2	2	2	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	2	1	2	2
COM187	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	2	1	2	2
COM188	1	1	1	1	2	2	2	2	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	2	1	2	1
COM189	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	2
COM190	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	2	2	2	2	1	1	2	2	2	1
COM191	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	1	2	2	2	2	1
COM192	1	2	2	2	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2
COM193	1	2	2	1	1	2	2	2	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1
COM194	1	2	2	1	2	2	1	1	1	2	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	2	1
COM195	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	2	1
COM196	1	1	1	2	1	2	1	1	1	1	2	2	1	1	2	2	2	1	1	2	1	2	1	2	1	2	2
COM197	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	2	2	1	2	2	1	2	1	2	1	2	1
COM198	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	2	1	2	2	2	1	2	1
COM199	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	1
COM200	1	2	2	1	1	2	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	1	2	1	2	1
COM201	2	1	1	2	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2
COM202	2	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	2
COM203	2	1	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	2
COM204	2	1	1	1	2	1	2	2	2	1	1	1	2	2	1	1	1	2	2	1	2	1	2	1	2	1	1
COM205	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2
COM206	2	2	2	2	2	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2
COM207	2	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1
COM208	2	2	2	2	1	1	1	1	2	2	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2
COM209	2	2	2	1	1	1	2	2	2	2	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	1
COM210	2	2	2	1	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	2	1	2	1	1
COM211	2	1	1	2	1	1	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	2
COM212	2	1	1	2	2	1	1	1	2	1	2	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2
COM213	2	1	1	1	2	1	2	2	2	1	1	1	2	2	2	2	1	1	2	1	1	2	2	1	1	1	1
COM214	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	2	1	2	1	1	2	2	1	1	2	1	2
COM215	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	2	2	1	2	2	1	1	2	1	1
COM216	2	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	1	2	1	1	2	2	2	1	2	1	1
COM217	2	2	2	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2
COM218	2	2	2	1	1	1	2	2	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	1	1
COM219	2	2	2	1	2	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1
COM220	2	2	2	1	1	1	1	1	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	1	2	1	1
COM221	2	1	1	2	1	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	2
COM222	2	1	1	2	2	1	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2
COM223	2	1	1	1	2	1	2	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1
COM224	2	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	2	1	1	2	2	2	2
COM225	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	2	2	1	2	1	1	2	2	2	1
COM226	2	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	1	2	2	2	2	1
COM227	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2
COM228	2	2	2	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1
COM229	2	2	2	1	2	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1
COM230	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2	2	1
COM231	2	1	1	2	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	1	2	1	2	1	2	2
